ID	Tên sản phẩm	Danh mục	Kích thước	Giá (VNĐ)	Đơn vị	Mô tả	Nhãn nổi bật	Icon	Thông số 1 - Tên	Thông số 1 - Giá trị	Thông số 2 - Tên	Thông số 2 - Giá trị	Thông số 3 - Tên	Thông số 3 - Giá trị	Thông số 4 - Tên	Thông số 4 - Giá trị	Thông số 5 - Tên	Thông số 5 - Giá trị
ong-1sn-12	Ống thủy lực 1 lớp thép bện SAE 100R1AT	Ống thủy lực	Phi 12.7mm (1/2")	62000	mét	Ống 1 lớp thép bện, chịu áp suất làm việc trung bình, dùng cho hệ thống thủy lực di động và máy công trình.	Bán chạy	hose	Tiêu chuẩn	SAE 100R1AT / EN 853 1SN	Áp suất làm việc	88 – 225 bar (tùy phi)	Nhiệt độ	-40°C đến 100°C	Lớp gia cường	1 lớp thép bện	Ứng dụng	Xe nâng, máy xúc, máy ép thủy lực
ong-2sn-34	Ống thủy lực 2 lớp thép bện SAE 100R2AT	Ống thủy lực	Phi 19mm (3/4")	98000	mét	Ống 2 lớp thép bện, chịu áp lực cao hơn R1, phù hợp hệ thống thủy lực công nghiệp và máy xây dựng.	Bán chạy	hose	Tiêu chuẩn	SAE 100R2AT / EN 853 2SN	Áp suất làm việc	125 – 320 bar (tùy phi)	Nhiệt độ	-40°C đến 100°C	Lớp gia cường	2 lớp thép bện	Ứng dụng	Máy xúc, máy ép, hệ thống thủy lực công nghiệp
ong-4sp-1	Ống thủy lực 4 lớp thép bện 4SP	Ống thủy lực	Phi 25.4mm (1")	165000	mét	Ống 4 lớp thép bện chịu áp cực cao, dùng cho hệ thống thủy lực tải nặng, ép cọc, cẩu trục.		hose	Tiêu chuẩn	EN 856 4SP	Áp suất làm việc	250 – 400 bar (tùy phi)	Nhiệt độ	-40°C đến 100°C	Lớp gia cường	4 lớp thép bện	Ứng dụng	Cẩu trục, máy ép cọc, thiết bị tải nặng
ong-4sh-114	Ống thủy lực 4 lớp thép bện 4SH	Ống thủy lực	Phi 31.8mm (1-1/4")	210000	mét	Ống 4 lớp thép bện xoắn kép, chịu áp lực rất cao, dùng cho các hệ thống thủy lực siêu trường siêu trọng.		hose	Tiêu chuẩn	EN 856 4SH	Áp suất làm việc	220 – 350 bar (tùy phi)	Nhiệt độ	-40°C đến 100°C	Lớp gia cường	4 lớp thép bện xoắn kép	Ứng dụng	Máy ép công nghiệp, thiết bị khai khoáng
ong-spiral-2	Ống thủy lực xoắn ốc (Spiral) R15	Ống thủy lực	Phi 50.8mm (2")	385000	mét	Ống xoắn ốc nhiều lớp thép, chịu áp cực cao cho hệ thống thủy lực cỡ lớn, đường ống chính.	Cỡ lớn	hose	Tiêu chuẩn	SAE 100R15 / EN 856 R15	Áp suất làm việc	280 – 420 bar (tùy phi)	Nhiệt độ	-40°C đến 121°C	Lớp gia cường	4–6 lớp thép xoắn ốc	Ứng dụng	Đường ống chính, thiết bị khai khoáng, cảng biển
ong-chiu-nhiet	Ống thủy lực chịu nhiệt cao EN 856 4SP	Ống thủy lực	Phi 25.4mm (1")	178000	mét	Lớp cao su ngoài chịu nhiệt, dùng ở môi trường nhiệt độ cao gần động cơ, lò hơi.		hose	Tiêu chuẩn	EN 856 4SP - chịu nhiệt	Áp suất làm việc	250 – 380 bar (tùy phi)	Nhiệt độ	-40°C đến 121°C	Lớp gia cường	4 lớp thép bện	Ứng dụng	Gần động cơ, lò hơi, môi trường nhiệt độ cao
ong-r3-38	Ống mềm thủy lực áp suất thấp SAE 100R3	Ống thủy lực	Phi 9.5mm (3/8")	28000	mét	Ống mềm 2 lớp sợi dệt, dùng cho hệ thống áp suất thấp, dầu, nước, khí nén.	Giá tốt	hose	Tiêu chuẩn	SAE 100R3	Áp suất làm việc	35 – 65 bar (tùy phi)	Nhiệt độ	-40°C đến 100°C	Lớp gia cường	2 lớp sợi dệt	Ứng dụng	Hệ thống dầu, nước, khí nén áp suất thấp
racco-bsp-12	Rắc co ren BSP thẳng (nam - nữ)	Rắc co & Đầu nối	Phi 1/2"	32000	cái	Đầu nối ren BSP song song, dùng phổ biến trong hệ thống thủy lực và khí nén tại Việt Nam.	Bán chạy	hex	Tiêu chuẩn ren	BSP (British Standard Pipe)	Chất liệu	Thép carbon mạ kẽm	Áp suất chịu tải	Đến 350 bar	Kiểu kết nối	Ren thẳng nam - nữ
racco-npt-34	Rắc co ren côn NPT	Rắc co & Đầu nối	Phi 3/4"	38000	cái	Đầu nối ren côn tiêu chuẩn Mỹ, tự làm kín nhờ độ côn của ren, phổ biến trong máy nhập khẩu.		hex	Tiêu chuẩn ren	NPT (National Pipe Thread)	Chất liệu	Thép carbon mạ kẽm	Áp suất chịu tải	Đến 400 bar	Kiểu kết nối	Ren côn tự làm kín
racco-jic-916	Đầu nối JIC 37° (nam - nữ)	Rắc co & Đầu nối	Phi 9/16"	45000	cái	Đầu nối côn 37 độ, làm kín bằng mặt côn, dùng phổ biến cho máy xúc, máy công trình.	Bán chạy	hex	Tiêu chuẩn	JIC 37° (SAE J514)	Chất liệu	Thép carbon mạ kẽm / inox	Áp suất chịu tải	Đến 420 bar	Kiểu kết nối	Mặt côn 37° tự làm kín
racco-orfs-34	Đầu nối ORFS mặt phẳng	Rắc co & Đầu nối	Phi 3/4"	52000	cái	Đầu nối mặt phẳng có gioăng O-ring, độ kín cao, hạn chế rò rỉ, dùng cho hệ thống áp lực cao.		hex	Tiêu chuẩn	ORFS (O-Ring Face Seal)	Chất liệu	Thép carbon mạ kẽm	Áp suất chịu tải	Đến 450 bar	Kiểu kết nối	Mặt phẳng + gioăng O-ring
racco-flange-1	Mặt bích thủy lực SAE 4 bu-lông	Rắc co & Đầu nối	Phi 1"	95000	cái	Mặt bích tiêu chuẩn SAE, lắp với block thủy lực, chịu áp lực cao và dễ tháo lắp bảo trì.		flange	Tiêu chuẩn	SAE J518 (Code 61 / Code 62)	Chất liệu	Thép carbon mạ kẽm	Áp suất chịu tải	Đến 400 bar	Kiểu kết nối	4 bu-lông, gioăng O-ring
racco-quick-12	Khớp nối nhanh thủy lực (Quick Coupling)	Rắc co & Đầu nối	Phi 1/2"	128000	bộ	Khớp nối tháo lắp nhanh không cần dụng cụ, tự khóa, hạn chế thất thoát dầu khi ngắt kết nối.	Tiện lợi	quick	Tiêu chuẩn	ISO 7241-A	Chất liệu	Thép carbon mạ kẽm	Áp suất chịu tải	Đến 350 bar	Kiểu kết nối	Cắm nhanh, tự khóa bi
racco-tee-12	Tê ren thủy lực (Tee)	Rắc co & Đầu nối	Phi 1/2"	42000	cái	Chia dòng thủy lực thành 3 hướng, dùng khi cần rẽ nhánh đường ống trong hệ thống.		tee	Tiêu chuẩn ren	BSP / NPT (theo yêu cầu)	Chất liệu	Thép carbon mạ kẽm	Áp suất chịu tải	Đến 350 bar	Kiểu kết nối	3 ngả ren trong
racco-elbow-34	Cút nối 90 độ ren BSP	Rắc co & Đầu nối	Phi 3/4"	36000	cái	Đầu nối góc 90 độ, giúp bẻ hướng đường ống mà không cần uốn cong ống thủy lực.		elbow	Tiêu chuẩn ren	BSP	Chất liệu	Thép carbon mạ kẽm	Áp suất chịu tải	Đến 350 bar	Kiểu kết nối	Góc 90°, ren trong - ngoài
racco-union-1	Măng sông nối ống (Union)	Rắc co & Đầu nối	Phi 1"	58000	cái	Dùng để nối dài hai đoạn ống hoặc hai đầu rắc co có cùng kích thước ren.		union	Tiêu chuẩn ren	BSP / NPT (theo yêu cầu)	Chất liệu	Thép carbon mạ kẽm	Áp suất chịu tải	Đến 380 bar	Kiểu kết nối	Ren trong hai đầu
racco-cap-12	Đầu bít ren thủy lực (Plug/Cap)	Rắc co & Đầu nối	Phi 1/2"	18000	cái	Bịt kín đầu ống hoặc cổng không sử dụng, ngăn bụi bẩn và rò rỉ dầu.	Giá tốt	cap	Tiêu chuẩn ren	BSP / NPT (theo yêu cầu)	Chất liệu	Thép carbon mạ kẽm	Áp suất chịu tải	Đến 350 bar	Kiểu kết nối	Ren ngoài / ren trong bịt kín
